id,VacantLot,Condominium,NbrOfUnits,NbrOfApts,ResSalePrice,VacBldgYear,ZIP
1_34_0,FALSE,FALSE,0,0,"5,000.00",0,63102
18_30_0,TRUE,FALSE,0,0,"85,000.00",0,63102
27_70_0,FALSE,FALSE,0,1,"210,000.00",0,63102
44.04_50_0,TRUE,FALSE,0,0,"94,955.00",2004,63102
49_80_0,FALSE,FALSE,0,0,"40,000.00",0,63102
50_105_0,FALSE,FALSE,0,0,"13,000.00",2018,63102
52_100_0,TRUE,FALSE,0,0,"185,000.00",0,63102
76_60_0,FALSE,FALSE,0,1,"85,000.00",2018,63102
99_31_0,FALSE,TRUE,1,0,"106,000.00",0,63102
99_36_0,FALSE,TRUE,1,0,"163,000.00",0,63102
99_41_0,FALSE,TRUE,1,0,"112,500.00",0,63102
99_43_0,FALSE,TRUE,1,0,"182,000.00",0,63102
99_46_0,FALSE,TRUE,1,0,"201,500.00",0,63102
99_47_0,FALSE,TRUE,1,0,"229,900.00",0,63102
99_48_0,FALSE,TRUE,1,0,"1,130,000.00",0,63102
99_49_0,FALSE,TRUE,1,0,"106,000.00",0,63102
99_51_0,FALSE,TRUE,1,0,"80,000.00",0,63102
99_52_0,FALSE,TRUE,1,0,"245,000.00",0,63102
99_53_0,FALSE,TRUE,1,0,"181,000.00",0,63102
99_59_0,FALSE,TRUE,1,0,"270,000.00",0,63102
99_61_0,FALSE,TRUE,1,0,"154,000.00",0,63102
99_64_0,FALSE,TRUE,1,0,"185,000.00",0,63102
99_66_0,FALSE,TRUE,1,0,"230,000.00",0,63102
99_67_0,FALSE,TRUE,1,0,"115,000.00",0,63102
99_81_0,FALSE,TRUE,1,0,"200,000.00",0,63102
99_82_0,FALSE,TRUE,1,0,"160,000.00",0,63102
99_85_0,FALSE,TRUE,1,0,"219,900.00",0,63102
99_87_0,FALSE,TRUE,1,0,"120,000.00",0,63102
99_92_0,FALSE,TRUE,1,0,"166,200.00",0,63102
99_97_0,FALSE,TRUE,1,0,"207,000.00",0,63102
99_102_0,FALSE,TRUE,1,0,"135,000.00",0,63102
99_103_0,FALSE,TRUE,1,0,"172,000.00",0,63102
99_104_0,FALSE,TRUE,1,0,"186,000.00",0,63102
99_105_0,FALSE,TRUE,1,0,"274,000.00",0,63102
99_108_0,FALSE,TRUE,1,0,"405,000.00",0,63102
99_109_0,FALSE,TRUE,1,0,"299,000.00",0,63102
99_110_0,FALSE,TRUE,1,0,"144,000.00",0,63102
99_113_0,FALSE,TRUE,1,0,"110,000.00",0,63102
99_114_0,FALSE,TRUE,1,0,"100,000.00",0,63102
99_117_0,FALSE,TRUE,1,0,"145,000.00",0,63102
99_118_0,FALSE,TRUE,1,0,"163,500.00",0,63102
99_119_0,FALSE,TRUE,1,0,"158,000.00",0,63102
99_120_0,FALSE,TRUE,1,0,"215,000.00",0,63102
99_133_0,FALSE,TRUE,1,0,"105,000.00",0,63102
99_135_0,FALSE,TRUE,1,0,"95,000.00",0,63102
99_141_0,FALSE,TRUE,1,0,"156,800.00",0,63102
99_142_0,FALSE,TRUE,1,0,"118,000.00",0,63102
99_143_0,FALSE,TRUE,1,0,"145,000.00",0,63102
99_144_0,FALSE,TRUE,1,0,"95,000.00",0,63102
99_151_0,FALSE,TRUE,0,0,"115,000.00",0,63102
99_152_0,FALSE,TRUE,1,0,"164,900.00",0,63102
99_153_0,FALSE,TRUE,1,0,"91,900.00",0,63102
99_159_0,FALSE,TRUE,1,0,"245,000.00",0,63102
99_165_0,FALSE,TRUE,1,0,"219,375.00",0,63102
99_166_0,FALSE,TRUE,1,0,"235,000.00",0,63102
99_167_0,FALSE,TRUE,0,0,"217,500.00",0,63102
99_168_0,FALSE,TRUE,0,0,"149,500.00",0,63102
99_169_0,FALSE,TRUE,0,0,"115,000.00",0,63102
124_40_0,FALSE,FALSE,0,0,"48,438.00",0,63101
147_10_0,TRUE,FALSE,0,0,"22,500.00",0,63102
152_20_0,FALSE,FALSE,0,0,"47,000.00",0,63104
155_40_0,FALSE,FALSE,0,1,"160,000.00",2004,63104
156.06_10_0,FALSE,FALSE,1,0,"215,000.00",0,63104
170_70_0,FALSE,FALSE,0,0,"135,000.00",0,63101
173_32_0,FALSE,TRUE,1,0,"227,000.00",0,63101
173_33_0,FALSE,TRUE,1,0,"187,500.00",0,63101
173_35_0,FALSE,TRUE,1,0,"225,000.00",0,63101
173_36_0,FALSE,TRUE,1,0,"225,000.00",0,63101
173_37_0,FALSE,TRUE,1,0,"229,900.00",0,63101
173_39_0,FALSE,TRUE,1,0,"174,860.00",0,63101
173_41_0,FALSE,TRUE,1,0,"198,900.00",0,63101
173_42_0,FALSE,TRUE,1,0,"230,000.00",0,63101
173_44_0,FALSE,TRUE,1,0,"243,000.00",0,63101
173_45_0,FALSE,TRUE,1,0,"182,000.00",0,63101
173_46_0,FALSE,TRUE,1,0,"264,000.00",0,63101
173_47_0,FALSE,TRUE,1,0,"235,000.00",0,63101
173_49_0,FALSE,TRUE,1,0,"208,000.00",0,63101
173_50_0,FALSE,TRUE,1,0,"161,000.00",0,63101
173_51_0,FALSE,TRUE,1,0,"300,000.00",0,63101
173_53_0,FALSE,TRUE,1,0,"240,000.00",0,63101
173_55_0,FALSE,TRUE,1,0,"231,500.00",0,63101
173_58_0,FALSE,TRUE,1,0,"227,000.00",0,63101
173_60_0,FALSE,TRUE,1,0,"216,000.00",0,63101
173_61_0,FALSE,TRUE,1,0,"128,000.00",0,63101
173_63_0,FALSE,TRUE,1,0,"175,000.00",0,63101
173_64_0,FALSE,TRUE,1,0,"226,000.00",0,63101
173_66_0,FALSE,TRUE,1,0,"190,000.00",0,63101
173_70_0,FALSE,TRUE,1,0,"191,700.00",0,63101
173_71_0,FALSE,TRUE,1,0,"235,000.00",0,63101
173_73_0,FALSE,TRUE,1,0,"290,000.00",0,63101
173_75_0,FALSE,TRUE,1,0,"223,000.00",0,63101
173_77_0,FALSE,TRUE,1,0,"190,125.00",0,63101
